,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence
0,2,⛅Afternoon Ride - windy 🍃,15670.9,2050,2375,29.7,Ride,10.0,2597684806,shealth3f1e3adc-f185-14b7-0cec-70929c30738b.tcx,2756271038.0,2019-08-06T15:13:14Z,2019-08-06T16:13:14Z,(GMT+00:00) Europe/London,3600.0,"[52.915325, -1.432247]","[52.8877, -1.29889]",,,United Kingdom,52.915325,-1.432247,15,6,0,1,0,False,True,False,False,everyone,False,b1300675,False,2756271038,7.644,13.6,151.9,311.5,False,True,146.1,172.0,False,True,53.1,30.4,8,0,False,41.0,2265413,1,a2597684806,w_~aIpvvGZ}BlBbAJ\CfAIfAi@z@cApA[vAwCdFy@hBkApEg@xDuAtMe@`CER[h@WvBInARlAnAbFz@|BKcCvBSlEw@vBcAbByAvDaEfA[|ELzBIlE_Av@eAfA}@xA{Ch@wAd@cBj@eBh@oBfAuA|BmBxBeAfA]bAg@bAi@~@w@~@wAv@mFLwERaBZgBTmBTgCj@yAOhAkDx@aF`@gBBeDSyCe@wAa@uAi@{@a@kAu@Y_CcA@eAi@_AiAyBeDy@{A}@}BUuFu@mByByDOeBJgCKwFa@_FO}Bz@{F|@uGdBmNfBaFDuB_@oBQsCwBwA_By@aC}@wB_AaAOIwAdAmDr@uBv@qC`@cCdAuH`@_BdCkIxAmFz@yEdAsJXsBb@gC|@uE~BwKtBeKdB}Lt@aG^cCz@oDb@gBxBwJdAaGtAiJpAkE`@uB`@{Bd@eDnAoH`AwFbAmFZiBNkBGcC`AwA`BeArAyHdAyErEkUrFcXvJ_g@xBqJbDgMxBqJhBsHpA_JpAoK~@_FXwB|BcMTyBQyC{@gK[cCe@oB[oBeAsJw@cGo@sGOsCE_ECyHO_GMkCQiCc@cCm@uB[eD]aOHcC?eCiB{SK}Br@i@x@I`AWxAY|Ce@rEYxEQpACxBo@~@k@|@q@tBcAbAo@j@e@t@oAhB_E|@kBdBsC|@cAdAa@dAYbAQbAI`ANjAj@fDnBz@Hh@mAxAiHl@_CjAyDbA_F~@eFj@}B{@aDiCq@q@iAPwBRkFKmCuBmM?gCX_C`AgEk@o@sCIQ@]FSX,2,
1,2,☀️Morning Ride,15762.7,2086,2185,39.4,Ride,10.0,2594720381,shealth80ad000c-5b88-f1ae-e6d9-5d7f72318129.tcx,2753204267.0,2019-08-06T05:39:20Z,2019-08-06T06:39:20Z,(GMT+00:00) Europe/London,3600.0,"[52.887676, -1.298537]","[52.91525, -1.432172]",,,United Kingdom,52.887676,-1.298537,23,4,0,1,0,False,True,False,False,everyone,False,b1300675,False,2753204267,7.556,13.9,172.3,359.4,False,True,143.0,173.0,False,True,53.1,30.4,14,0,False,37.0,2265413,1,a2594720381,ehxaIt|{FP]PCVC|@VbB@j@`@UtBs@jDCnENjDs@`Aa@dB}@hJ^`DlBrA|@d@~@LjAHnBnAZrBqChNcAlEmA~D{@xD[jBg@`BqALmC{AuCkAkCPmAZkAd@mA~AwBpDgB~D_BnC{@h@cAj@yAp@eCzAqCl@qENeDPsC\gCd@qBf@{@Lo@f@JxB\zEbA~KHpBKtBAhCLhFPvFx@fEd@jBPpBNjCTxFDlMBnBX|EZtDrArJh@jGbBlKb@xFf@dEDrBUnBiBfJ_AzF}@vEm@rFwAvJcAdFiBtHoAvFqEjQ{@vD_Iba@aCtK_Hr]yDxQ_BdJ}BFOfB@fBO|BqBvK{EjYmApEuBlMeA~Fk@lCyC`MsB~NsAbJwGv[aAvF{AbNc@xBwAxF{CtJw@~Dw@|Fg@rCuAjE{@hEnBlAvGjCNBx@^dA|@\dEb@fB_@fB{@bCmA|F}@pGq@tGw@`FMzBLxBTpCTxFInF|ClFd@rB@xCpAbEnBbDnB`CdAn@hADx@bAfAnC~B~@xBf@jC^tAJjCA`CMnBW`Ce@jAc@q@[m@pDk@rDQjBIvBQbDeArEuB`CqBtAcAf@eA`@qAp@_C|BsApDiAjDo@bBw@zAaEfFuC`@gCPiAOiAByA?kC`BwB~BwBfBkAj@iDn@{CXaBrAt@tAGk@qAiFk@yD`AsGhAeIx@{Hf@gDl@iC|@aCfB_DxAqCn@qBt@e@ZaBQ}Aq@q@g@@S~A?B,2,
2,2,⛅Afternoon Ride,15936.5,2084,2150,36.1,Ride,10.0,2594720420,shealthd8faacc2-1800-fb2e-8c38-670db4a99722.tcx,2753204271.0,2019-08-05T15:10:45Z,2019-08-05T16:10:45Z,(GMT+00:00) Europe/London,3600.0,"[52.9153, -1.432056]","[52.88768, -1.298822]",,,United Kingdom,52.9153,-1.432056,23,5,0,1,0,False,True,False,False,everyone,False,b1300675,False,2753204271,7.647,13.5,124.0,258.5,False,True,149.5,170.0,False,True,53.1,29.7,3,0,False,50.0,2265413,1,a2594720420,s_~aIjuvGLeAVg@b@Zd@j@\RDx@GjAW~@g@b@c@XGPIn@UdAe@|@}AdCm@hAi@pAc@vA]`BY`BsBfRo@xBUhAOjAGbAJ`AxBrIVd@MkADeAdBMpEo@dA]dAw@bA{@jCuCjAiArAKrAItCTjAKdAShASfA[bAwAbAaAx@aBr@kBl@sBbB}E~@sAdAaAjAm@jAk@xCmAjAk@fA}@|@sAd@{BViCP_G\kBZyBRoCb@yAd@`@]XuDx@uE^}CDmAGuC_@mAWoC_Aw@_@{@k@]g@DkAi@k@gAG}@m@{@cA{@kAy@qAw@uAo@}AQwBEcCk@kByC_FKs@XeAAwEIsBSuB[wF~@uFRgClAwJT{BZyB~AqE^mBe@eBK_DCSU[i@c@uCyAeE_Bw@_@s@Wq@DJgA\eAh@kB|@iCv@mCZkBbA{H^aBnDoLl@}Bh@_C^gCjAyK^cCb@_ChEmSrA}GhAoHzAoL\uBb@mBf@mBrA{FnAcG\oBHWvAeKh@{Ab@gB`@qBxDkUhCwNHoBEqBD}AbALfAKzAwIrC}MvDsRnD}PdFmWjDsQjAiFdFiSh@_CfDkN|AcKp@gG\cCd@_C`A{F`@sBbAuFXcCKeCgA_M[wBe@iBWoBg@wFeAoHgAsKEwAGcFAmGQqG_@mGe@eCm@}BUsCUaHEiCCgCLiCKkCk@yFScCYeCQ{CQuFCiCIgCScCo@iGEkCFkCHeCFcG?gGWePQ{GOgCe@kFsBmQ]cCWiC]cGWqAXu@XAt@K`@B~@?fAMhAYjAi@pK_G~@q@z@u@hAWhAi@jH_EpCuAjAYjASjAQfAKz@JThEtB`At@x@b@rARbBA~EEpBIjB?jBDjB,2,
3,2,⛅Morning Ride,16129.8,2206,2326,39.8,Ride,10.0,2592018722,shealth1f6c76ff-05ca-c746-07db-fa72da2d62e8.tcx,2750381293.0,2019-08-05T05:40:03Z,2019-08-05T06:40:03Z,(GMT+00:00) Europe/London,3600.0,"[52.887714, -1.298534]","[52.915024, -1.432853]",,,United Kingdom,52.887714,-1.298534,17,5,0,1,0,False,True,False,False,everyone,False,b1300675,False,2750381293,7.312,13.9,155.8,343.6,False,True,147.1,174.0,False,True,52.6,30.4,5,0,False,46.0,2265413,1,a2592018722,ahxaIh|{FNGTAhAJxACp@RTf@gAdFUpDLfBT`BqArC[zB_AfK`@r@~C~BjAXxBV~AlAPx@UpAy@vD}A~Hy@pDkAvDgBdIwBn@cE_CiA[mA@kARyAb@gCdCmB~CeDpHyB`BgCjAcAr@eAl@gA^iAHwFNgCNkALoEt@}Dz@GzCn@jIj@vFHdFEpEBtBNpFJzB`@bCbAnEd@~HLvF@hGDfFf@tG`@fDl@jEf@bGl@~Ev@bDXzCNxBb@nER~DUhB}@lEeCjNgArIu@~EUpBa@dCiFhUyFxTcA`FuB|KcFbW{ErUwBvKcDjOqBfLw@`AcA]g@NF|@DfBe@fFcB`J}B`Nk@rDi@|C[xAcAhDu@lFuBpLeBvHoAxE}@pFgAtIkA~Ha@xB}@`E{ExUy@tFe@|EWxB]vBe@tBg@nBo@vBoArD_A|C]|AYlBk@|E]fCUv@eA~Ci@hBH~BtDvAhAZbAn@`Ab@~AbAn@~ELhDe@tAm@xAg@~AcBnM_AvIa@`C?|BZrGL`G?fE`DvF^tB?tCtA|D`BhCx@hAx@`Az@r@fAH`Aj@v@bDnBz@|@ZfCb@rC^fCBpBK|BU|@MnCm@b@}@{@t@_@bBGhAc@|DItB_@vFq@xDo@dAw@~@{@l@yGzC{BfB}@jAg@|AkAdEu@vBsBjDmBzBmC^uAXoC?eCHiACcAn@iExEoCbB_HlAeACcAZJnBb@BqA_FGa@UaAWiBN}Bf@_Cl@kDtBkQj@wCr@gC`AmB|B}Dv@_D~AuALyBJ}FI{BUuCwAO_@rF\~BBtAWn@Cl@DDh@fC,2,
4,2,⛅Afternoon Ride - new tyres worked well,16419.3,2155,2290,31.9,Ride,10.0,2585671225,shealthe7026249-5bf3-9415-6bde-c5f982dd820b.tcx,2743458134.0,2019-08-01T15:11:26Z,2019-08-01T16:11:26Z,(GMT+00:00) Europe/London,3600.0,"[52.91525, -1.432098]","[52.887684, -1.298899]",,,United Kingdom,52.91525,-1.432098,17,5,1,1,0,False,True,False,False,everyone,False,b1300675,False,2743458134,7.619,14.4,178.6,384.8,False,True,149.6,174.0,False,True,53.0,29.2,3,0,False,49.0,2265413,1,a2585671225,i_~aIruvG?aB^UvAlAFBJXQrCeAnAa@p@UxA}CrF{AtD{@~DgBvO_@lCETk@xAKrASlAF|AxBpIXl@IcA?iA|@E`G}@dA[bAu@|@w@lCwClC_BfCChARjACjAMlA_@vAMxBaC~AqCl@}Af@gBzAoE~@eBdCqB`CiAhA_@jAe@fAo@bA_Az@iBr@yFLsEv@_FPwCz@{As@|@cB`@}@PyCXuCHqCMaEo@wC_AwAu@cAs@F{@Y{@kAEuBeBaB_Cu@oAs@sAm@}AG{BQwCiBiDsA{BE{@XgACqEKeC_@}EBiE\sBfA}IfA}JnAaEl@gBNiB_@eBCsBo@cB{Au@mAs@uBy@u@]qBu@kACh@eC\qAtByGp@yDj@wE`@yBrDuLpAgFb@cCv@gHv@iGdAwF|DeRpAyG~AcLx@wG^wBzBgJnBeJ`AyF|@oGtAyEv@_E\cChA{GvCkPp@qEBoBKmB`@o@fAZ|@yA~@mFhCiMxByKzLmm@vEgVhBcIlC_KxFyU`@wBx@uFpAuK|AyIXsBh@}B`AcFx@yEpCiLrBoKtA{HdAyErAeFvAaEnA_D~AiD~CoGxGyNxIeRlCkGxSid@p@_Bh@gB^kBVyBn@mIvBi[\cHhA{GxAmF@}CQ_GXyE|@eAdAo@l@{@AcDB_Fu@oEc@oBm@cBcAgB{BoCkDcFiJyOcBmCcB_C}AcCoAyC[a@SI]Bm@`@cJvGs@p@XdAlChIXbB@nBEnBInBWdCk@xE,2,
5,2,"⛅Morning Ride - Headwind from the west on the way in, headwind from the east on the way home?! y",16063.9,2335,2505,44.1,Ride,10.0,2580467203,shealthca7d2efe-068c-429e-06b0-664efd5895bf.tcx,2738088398.0,2019-08-01T05:36:07Z,2019-08-01T06:36:07Z,(GMT+00:00) Europe/London,3600.0,"[52.887672, -1.298626]","[52.915203, -1.432219]",,,United Kingdom,52.887672,-1.298626,8,4,0,1,0,False,True,False,False,everyone,False,b1300675,False,2738088398,6.88,17.4,165.5,386.4,False,True,142.0,168.0,False,True,53.1,30.4,2,0,False,37.0,2265413,1,a2580467203,{gxaI~{{FVEPBXLfACtAF^\Fd@eAnEWvDd@tDcBzEc@xD_@`EKvAj@p@r@p@tBnA~BNpBlAf@`@Nj@gAtFoCxMiApDw@xD{@vDiBjAcEaCkCk@eCZcC`AsClEkDrH}AjBuBhAeA`@{B~AcCr@uIVcCReC^oB\eBb@u@L]jCz@rKb@fELfBIxEDzEL`F\`F`@`Bx@jEXxERbF@rFDrHT|DZtDpA~Iv@hJbAzEz@pJd@jEGjEmBfKu@xE]hBs@lEqAfKm@fE]bBaFzScEdPoAtF_Mln@{Mdp@u@nE{A|ByA@FfAC`E{@lFcAnFsEnXuB|IkA|H{BhL}CpMy@vFo@fFcAfHo@fDmFjW}@xEm@hFk@jFYrBgAxEkAbEmClIQhA}AtLSv@gBxFKfDlJxDRRrBlAZ`ELhE{BbHm@jFuB~P]tE^`FRnFKjF`@xApBdDt@dFp@jEp@tAt@pAv@hAvB`CfCb@r@bDt@f@xB|@dCh@hCZnCRfAEbAGbEe@dCi@x@mAgApBKlBi@|DUbE_@dFaApDs@z@uBvA{FnC{B`Bw@`AoAvCgAvD_BpDqBhCu@jAeALiEv@cCQmCH}BpA}CfDyBbBeCn@cCb@cALwBHB~B\FaB{GQi@UmBR{BjAgGtBmQrAmGvBoEbCwGzAaAf@wFCmGQaCsAyAk@tFf@zEa@bBP^,2,
6,2,⛅Afternoon Ride,15670.0,2151,2276,31.3,Ride,10.0,2580362070,shealth312a547e-ee80-6036-fd4f-8a06056d540b.tcx,2737975253.0,2019-07-29T15:09:33Z,2019-07-29T16:09:33Z,(GMT+00:00) Europe/London,3600.0,"[52.915257, -1.431626]","[52.887703, -1.298684]",,,United Kingdom,52.915257,-1.431626,7,1,0,1,0,False,True,False,False,everyone,False,b1300675,False,2737975253,7.285,15.6,123.2,265.0,False,True,149.8,170.0,False,True,53.1,30.4,2,0,False,50.0,2265413,1,a2580362070,i_~aItrvGb@k@hAdAXRE|C]z@k@^_@b@SnA_@hAwCbFy@nBgAzEk@lEiAfKeAjEa@~C@tAbBxGv@|BOaCh@QrBYfC_@zBu@dBuAjDyD|@s@rAGnCE|BFhAMdA]bAAx@y@bAiAbBmChAyCd@}Al@aBx@kBvBaCbCwAbEaBbAi@fAcArA{Dd@qE@oBJ}Av@qEN{CfAaAeAh@}Bf@eAJcDRyCDeCUiAOiAUiAYuCkAyA_ADgAg@m@aAC}@m@eAmAoBsC_B_Da@mB?_Cg@iCmB}C}@iCX}CAoBGmBo@{JnAmIbBcObAaFpAuDKcB[gB?aBEc@CIg@w@}BuAoBy@iE}AoAK@_AtDqL\_B`AkHXiBn@yBlC}InAeF\uBhAeKr@sE|@uEpD{PbB_J|@mG~@mHv@aF`BwGnAwF`AcFr@eEn@sEX{Af@sA^aBv@}DXwB`@{B`@iCbEaUP{A@aBG}A@oAhAN~AmBr@{D|@cEZeB|K_j@pGw[`BsI`A{EhCwKtAcFhEwQdAkEz@kFpAiKv@yFx@sEXoB`@gBd@eCv@eFYeFy@_K]mBg@wBk@yEc@iE{@mGUuBo@aMCiKQgG_@sGgA{Ea@sEIwBCsBIgCDgFAoEk@_F{@yJd@iDdE{@rFy@`K_@fACdAYbAe@z@q@rDqBr@a@r@u@zAcDr@cBbBmCtAaCx@i@|@Y~@W~@OlAC~Bx@jDpB|@?d@sA`AyEdCyJzAwHdAaFDqDuBqAiAAc@kAZaFHkC]yE_@wBe@wB[}BAcCTyBdA_Fc@]q@Ss@Fq@CSMaAJ,2,
7,2,⛅Morning Ride - Felt windy and I felt 💩,16228.4,2315,2335,38.5,Ride,10.0,2571946674,shealth8fc18c74-79c0-17c0-97bc-94c2b9f4b59e.tcx,2729279031.0,2019-07-29T05:39:58Z,2019-07-29T06:39:58Z,(GMT+00:00) Europe/London,3600.0,"[52.88772, -1.298739]","[52.91526, -1.43218]",,,United Kingdom,52.88772,-1.298739,3,4,0,1,0,False,True,False,False,everyone,False,b1300675,False,2729279031,7.01,12.2,100.4,232.5,False,True,143.0,166.0,False,True,52.6,30.4,1,0,False,40.0,2265413,1,a2571946674,chxaIn|{FP]NAr@Pd@BrAGj@RVb@Ij@m@hCUpAOvA?|A`@nDc@~@_@h@WfAa@nD]tDQvAJhA|C~Bv@^xBJx@`@r@j@h@d@?~@{DxRa@|AiApDuA~Gc@|A{@j@cAe@kC}AiAi@kAKmAJiAVkA\cAt@w@vAy@hAq@rAiC|Fo@~@w@j@{@f@iAd@gAj@aAt@cAd@eAZqCFwEPgAFiALgEt@oBd@w@Lo@X?|An@~Hb@xETjBHnBI`F?nBJbFThFZhBd@~A\fBPhBVxELbF@nBAvE@hBFbBn@~IjArIV|Bb@nFVbBb@fBXpBp@|Hb@nDB~AO~AmBxJu@xE_@fB[dBW`BoApKm@dE]bBeBfHaChKeEjPy@hDgElT_@`B}DlSwNxr@oAtHo@jAaB[QD?n@FdA@xAKjBeDxQmD~SWrAaAfDkArHyAfI_@lBcAhEgBfH_@vBsAdKaBhLeGnY_AfFYxBaAbJ[rBiAxEkA~DiBxFa@zAq@vEs@pFWjA[fAeAzC_@vAItAr@n@~@ZxEfBlCtAdAlABzB`@lBEjBi@|Am@zAe@vAQlBWhB{@xHcAtH]fBAfBZ|EPvBDhFIpB\~AlB`Dn@zANtB?pB^zAj@pAn@jAp@fAfBbCx@p@~@Xz@?j@|@B|Ap@n@rB|@|@X~@P~Dj@bAFbAA`CKzD_@`Ci@z@]Fk@e@Cg@|@U`A}@rFQ|A?xCIvCUrB[xAk@jAs@t@s@h@u@`@_A`@}@Z_A`@y@Z}@p@y@t@u@|@a@v@_@zAg@zAi@lBiB|D_Az@qBpC_A@}@RcC\aAIeAKcALeAAaAZ{@z@_DjD_C`BgAVsEt@cAFcA@o@p@^~A\^Ci@gBcHlCs]|A}Hx@qClEyHVgBfBcBRoBJsFEyBc@kFs@]]fBSpBGnBZhBBrAYn@@r@,2,
8,2,⛅Afternoon Ride,16273.5,2231,2231,32.5,Ride,10.0,2565817428,shealth4f69f3fe-943f-7fab-02ca-6aa1d18d3f5d.tcx,2722902186.0,2019-07-26T15:08:38Z,2019-07-26T16:08:38Z,(GMT+00:00) Europe/London,3600.0,"[52.9152, -1.432012]","[52.88771, -1.29884]",,,United Kingdom,52.9152,-1.432012,16,2,0,1,0,False,True,False,False,everyone,False,b1300675,False,2722902186,7.294,10.8,105.4,235.2,False,True,151.7,172.0,False,True,52.6,29.9,2,0,False,55.0,2265413,1,a2565817428,__~aIbuvGKg@Nk@V]l@h@t@d@HRAhAMtAe@z@]PSNILMd@QhAg@fAcBpCs@nAm@zAg@dB_@jBWlBiAfKe@lD[vAc@hAOtAEr@?t@Hj@~B`JTLSoA\w@z@AvGoAbAm@bAu@bEqEfAs@nA?hAKtCTjAOjAYjAM~@q@x@eA~@q@n@{Ar@uAxBqHj@_B`AcAdAy@jCuApCgAbAk@dAq@|@iAj@cB\{BJ_CBsBJyA^uBTwBLkCb@iAb@n@c@Xw@T}Bf@qE\kABqCGeAMeAQkCk@eCcAi@Y}@m@A_AY_A}@?}@a@w@w@u@cAeBoCo@qAm@wAQmBA{Bc@kBuC}ESyARgBAoBEmBMmB_@wEGmBrAwInAmLPoBZqBr@gBn@iBZiBc@_BEmBWaBy@q@sAq@q@a@uBu@kEcBa@LOY@YZk@^oAf@uAvAiF`@cBdAcIZeBxE_Ph@{B`@yBZyBj@wFr@mFzA_IhCqLjBoJzAoKt@_GXkBZcBjBkHdA_FxAgIZgBj@kEVkAZw@\sAZ_BZcBz@uFtCwPfAsFZmBDoBGgEz@Hx@Pb@m@jAwGpKwh@fBsIpKui@fBeIhDwMjA_FfAaFnAyE`@oBv@cF|A{M^sB`@mB^wAv@T~@HbADfACdAIdAPlCXfAGz@KZaAXqAhCa@f@yAh@gFTsBXqBd@kBt@uA`A{@~@q@bAIdA\dAf@fA@~@}@z@aA`Ai@hAJdAOl@}An@yAfBqD|@gAfAYtCPpCm@`C{@`ABdAJxCNlANbAQ?oBJqJPwBhCeLTiBOoBSqByCkXg@eFgEa`@w@eJM{BK_CSoBc@w@HgAVuA\qDfCk^p@aMTaCd@sBf@mBj@cBXmBCyB[_Jy@S_AMeASaAa@_Ai@o@WIYd@eCO{@m@q@m@{@u@s@iB{BiDwD{@m@w@Ug@Ek@Ys@Iq@Fm@IQG]E,2,
9,2,⛅Morning Ride,15729.1,2185,2275,39.1,Ride,10.0,2563811748,shealthf9767414-dc88-5544-b97a-df57a7c95320.tcx,2720845807.0,2019-07-26T05:34:03Z,2019-07-26T06:34:03Z,(GMT+00:00) Europe/London,3600.0,"[52.88772, -1.298726]","[52.915237, -1.432197]",,,United Kingdom,52.88772,-1.298726,12,3,0,1,0,False,True,False,False,everyone,False,b1300675,False,2720845807,7.199,13.8,168.2,367.5,False,True,151.6,172.0,False,True,53.0,30.4,5,0,False,52.0,2265413,1,a2563811748,ahxaIl|{F`@OPDd@?pAGp@Fj@XJj@m@bCm@hDFzDTtAWjAm@`Am@|D_@hEQtD~CbCtBj@tBb@`BpA?~@gB`JwBzJgB~Fy@pEaBhCmEcCiAi@mAMuCh@sCzAuBhDcBrDm@xAeBdCcGbD}@l@cA`@eAP_HRoCPoEp@uFjAQjAv@`Lb@nEVrEMvEXnNtBzKb@zIHtFAlFBrBHlBh@nHf@jDn@xEd@hGVrBdA`Fb@nFx@zHClBgE|Uw@xESjB{AdL{@xEgAnEgBvHmFzSw@lD_Mln@gNfq@qAxHqBb@e@tAAbE[tBgCdNiDnSs@fDaAdDgA|H{@|EaA|EcAfEmAtE{@`FeCfRu@lEoErS}AlIYvBcAnJcAfFgAhEcCvHe@`Bo@pEo@`Fa@hBoA|DcAxDlA~AdCl@hA`@|@h@h@RrCjBXfEPlDk@`Bu@jBc@rBcBrOu@pFa@pBEfBJpB^dFHhFGjEx@fAz@tAv@`BX~FzA|DnB|Cx@dA~B~ApB~@~@nC|B~@`AZdCb@fCXhC?fE[bCc@bCs@g@Qc@hAGdBY|Ai@xDS|F{@~Es@nAy@`Au@l@_CnAgCdAcCtBy@|@mDfKsBzD_ChCyATw@XaCZeCUkCBeCdBoDtDkC|A{Ez@iALiAG_@tCXKi@oBIi@[kAa@uBM{BZgCn@aC~@aHv@yHnA{Gr@sBv@{AvCeFt@gCrAyCwAqCa@l@EnA,2,
10,2,⛅Afternoon Ride - Hot AF!,15249.2,2145,2235,33.5,Ride,10.0,2563718228,shealth8e5af006-aced-ae55-83d9-54e4d58ce8f3.tcx,2720747947.0,2019-07-25T15:06:46Z,2019-07-25T16:06:46Z,(GMT+00:00) Europe/London,3600.0,"[52.91531, -1.43211]","[52.88768, -1.298869]",,,United Kingdom,52.91531,-1.43211,6,3,0,1,0,False,True,False,False,everyone,False,b1300675,False,2720747947,7.109,13.9,103.0,221.0,False,True,160.8,182.0,False,True,53.1,29.9,1,0,False,79.0,2265413,1,a2563718228,u_~aItuvG^gBh@Fj@j@ZPJz@GxAa@dAs@^]dA]|AkD`Gu@dBi@tBc@~B{@jHMv@YvBc@|DGHSv@c@lAUrCNlATfArBzHDe@QoAXs@v@@|@MbEo@`A[tBcBrDaE~@o@jCEbABbAHdAGfAKhA[fACv@iA|@{@r@aAr@uAl@wAd@_Bh@_Bh@iB|@gBtBkBhCqAlCcAbAg@`Aq@z@cAh@aB^wBPyBBsBDgBt@mELwBTeBd@WHj@i@RqDt@kCV{CHkAAkAIsCe@iAWuAa@mB}@}@m@Qi@CkA{@IaAY{@y@y@aAu@iAs@kAs@uAq@}AQsBA{Be@kB}CeFUm@Tq@HsA?gBEmBk@oIImB`@oBXqB~@mIdAmI`@qBn@eBj@gBJeBa@{AAoBY_B{@m@mCyAsHuCi@o@`AuCd@iAx@_D\gAZ_B~@mHX{A^yA|BiHrA_Fd@qBZsB`AeJXuBZoB\kB~DoRlBsJ|AqKt@aGXoB\eBpCcLfAgFx@aFp@}EZkBj@}A`@iB\iBhCwOdD}QRaBFaBIaB~@mAdAHb@cBvAaIdCsLbDiPbEaS`F}VdD}PdAwEpAkF|AoFb@uBh@oBfAeFtBqIrA{IfAeJZwB`AeFXoBvBmLTmB`@iAdAuE\sA~CgOxAiIfAyEjAqEh@cBfCuGjHkO~GgOtGiNrDkIfQu_@dB}Dj@iB`@kBReBZyDnBuXRyCp@eM^cC|BoIB{BSyFEwBe@u@w@FyBk@{BmAi@UD{@XqAEgAs@s@u@}@y@}@kB}BsB_Cy@{@{@e@o@Eg@Qk@Us@Go@Fg@KQDYCQF,2,
11,2,⛅Morning Ride,15208.2,2238,2404,43.6,Ride,10.0,2563718236,shealth773621eb-44cf-ea66-1202-90334ae69c61.tcx,2720747953.0,2019-07-25T05:33:44Z,2019-07-25T06:33:44Z,(GMT+00:00) Europe/London,3600.0,"[52.88779, -1.298793]","[52.915234, -1.432179]",,,United Kingdom,52.88779,-1.298793,12,3,0,2,0,False,True,False,False,everyone,False,b1300675,False,2720747953,6.795,15.8,156.1,349.3,False,True,151.9,168.0,False,True,53.1,29.9,7,0,False,52.0,2265413,1,a2563718236,}gxaIb|{FVMl@LpCBjDdAp@l@dExEnElFV`@c@hCvAzAtBbAlDTFfDLjEGlEiAvDc@`BgApLoDfh@cAbGaBfEkTfe@gB~DuIzQuGvNkFtKwAjDuArDiAzDa@~A}@dEqBzK}@lE_B`Hw@pD{@jDk@tDqA|Gs@|E}@pEmBhOq@lEkFdUoF`Ty@vDkInb@_Mnm@uBzJu@pEiAdE_ASu@v@BbEw@jF{CrPgCjOWnAeA~CcBbL}@`FcB|HeA`EaAdFw@fGoAxIo@bEkBzIc@dCqBhJ{AlJm@xFy@pFkA|EcEpMs@~Eu@~Fa@jBeA~CaAlDzAfBfFpBzCvAVDVFB_@@h@n@zGBlByAzD}@rEmBnPq@rEQhE^dFPrFAvBf@vDjB|Cl@`Ft@hEp@rAjBtCtB~BdC^r@hDz@f@|B~@dCj@fC^bCJlCEhEg@`Cg@`AeAc@Ek@hAKfCq@zDUnE_@dF[lBk@hAaAfAmBrAiCfA{BfAaAt@_Az@w@tAoAdEqArDs@rAoBdC{BxAcCn@gCHqECaCtAqBtBuBlBaAn@mGhAcCF]~Bb@t@U}AgA_EC[K[[wDfAmFz@gGTgCr@iGhAuFbBcEjBaDvAmExAcBa@yCgAUQt@Ff@,2,
